x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,y,mode
-3.580850229315957201e+00,3.613393403510455570e+00,-3.665747036742561527e-02,1.828628663362731110e+00,1.185963986764215772e+00,9.410548833821750225e-01,-1.347026727792655088e-01,-2.317975583952924801e+00,8.896922055498035498e-01,4.343188404841498707e-01,1.305263134866785713e+01,2.000000000000000000e+00
-1.281905556901599352e+00,7.997587743274497951e-01,1.391076487469405931e-02,-9.089327472680510667e-01,1.239408813586997615e+00,-6.383799570683050817e-01,1.295027392205343464e+00,-1.176797125344393180e+00,2.144937534335230822e+00,1.827995078111652294e+00,9.657148513022166814e-01,2.000000000000000000e+00
-2.564329613230832638e+00,2.670267780830984261e+00,8.376844053018054348e-01,2.689309319748316440e-01,-5.711004317246248796e-01,5.818305142132107477e-02,1.487878229964906707e+00,-5.966268267516650070e-02,1.009823648277488717e+00,1.226658798619450153e+00,-1.362415117487452498e+01,2.000000000000000000e+00
-1.325392987855745108e+00,1.845994892954469835e+00,-8.187493130839165190e-01,2.492764154887895156e+00,2.103306916923622261e+00,1.188538517216368939e+00,1.403816632608987369e+00,-2.525819854347751470e+00,1.151672566585580704e+00,-9.434369621776477199e-01,1.408401474162665146e+01,2.000000000000000000e+00
-2.169730481826278368e+00,1.369353986760548203e+00,4.270071985357242750e-01,1.537339273794662287e+00,1.256589596887327742e+00,1.073791317495498054e+00,1.002327351434573410e+00,-5.929013494460375622e-01,1.001434963870476924e+00,-6.770930659323919354e-01,-7.530040755240661632e+00,2.000000000000000000e+00
-2.716145335774021508e+00,1.689801722242560533e+00,-9.956170800612622607e-01,2.480012664965832947e+00,1.951057117456039158e+00,2.827644084408718950e+00,1.628340482726329697e+00,-3.449643953574683675e+00,7.510646510414473731e-01,1.257815757258148592e-01,2.779393431051091934e+00,2.000000000000000000e+00
-2.032601303437965967e+00,2.660369765567294209e+00,8.800922719619892476e-01,1.758815591315398885e+00,3.081536455745800041e+00,2.180441424995819499e+00,2.379725496392797623e+00,-3.128907201138408034e+00,-2.856718596923757403e-02,-1.469361351321688769e+00,1.573933040657681737e+01,2.000000000000000000e+00
-1.258769243856956432e+00,1.921171389057211076e+00,-6.744008370215859305e-01,2.490735004371236627e+00,4.243530060538569515e-02,2.533649042684738895e+00,1.342823780533055400e+00,-2.391088991490085469e+00,1.172801146404823136e+00,-3.593742571719924506e-01,-1.209155996588496373e+00,2.000000000000000000e+00
-1.968246647374595648e+00,8.438705934839351164e-01,8.707481368435563418e-01,4.172262552854247852e-01,1.576456798083126554e+00,1.760677076132258545e+00,1.080737391524802193e+00,-2.381954053805811711e+00,1.613105534942686159e+00,-1.157103061838467228e+00,6.363607096376112937e-02,2.000000000000000000e+00
-3.640256183265471623e+00,1.250675611912680285e+00,8.387338702316103900e-01,1.433805117437230159e+00,1.809856720138690811e+00,2.889457058429266034e+00,3.700545243269393048e+00,-4.208285421924039760e+00,9.155144409690719742e-01,-4.732183716734838508e-01,-8.277637060973636052e-01,2.000000000000000000e+00
-2.067617920656814601e+00,1.313657752005464641e+00,-1.574339405351047549e+00,2.798803597741965632e+00,-5.688104965866953577e-01,1.831354960865085202e+00,1.207245612087036957e+00,-1.632829552367325743e+00,7.404059886138054658e-01,-6.355187659620704643e-01,-1.416421575236099351e+01,2.000000000000000000e+00
-1.646680138329768672e+00,1.225025036517835897e+00,6.913923759532121238e-01,2.163880808604579098e-01,6.334061888873827595e-01,3.979922033010846683e+00,-6.235815858468760631e-01,-1.911865223927108337e+00,2.111402695515563366e+00,-3.262357355480163257e-01,-1.751115716448690307e+01,2.000000000000000000e+00
-3.508893490348738986e-01,1.207696337759564198e+00,-2.691080887047196946e-01,1.462844060700161597e+00,-1.349790480275381510e+00,2.733116856839223896e+00,8.861475022358500375e-01,-1.946418617449130029e+00,-2.391940045296210293e-01,5.032498050842386661e-01,-4.296313367837630182e+00,2.000000000000000000e+00
-1.420294142173275542e+00,2.427566158937756846e+00,2.318983420465708656e-01,-6.630469975824015982e-02,1.134790623884673888e-01,3.309301546531191462e-01,1.268437365743507739e+00,-2.794074630773062395e-01,6.430876793422741766e-01,4.626514101095036691e-01,-1.232496920841355603e+01,2.000000000000000000e+00
-1.973391399982580952e+00,8.417964483672881748e-01,-2.609225558274937962e-01,1.641809890596491739e+00,-2.712996816122641430e-01,1.925097923755595186e+00,2.200470366035123249e-02,-2.625917419965899668e+00,1.356577447684053528e+00,1.160021791856307161e-01,4.189346179910169887e+00,2.000000000000000000e+00
-2.430275741419409385e+00,1.174151035326356229e+00,-1.009321906911481159e-02,2.749292122971300323e+00,1.589505262282956632e+00,3.399877845223413519e+00,9.884440224317552204e-01,-2.984880687404758870e+00,1.275729122300443441e+00,-1.871997678002422227e-01,3.297232157305395539e+00,2.000000000000000000e+00
-2.793468392495879193e+00,1.378232697707771015e+00,2.080800710563486700e+00,6.003289417421795449e-01,2.405170279450548065e+00,2.782187564070832231e+00,8.181074811666371183e-01,-2.114383518113289728e+00,1.073727042010052646e+00,1.592839041921063625e-01,2.799264852706182083e+00,2.000000000000000000e+00
-2.893394336307200998e+00,2.976418071441077728e+00,4.680709225540936602e-01,2.629938488536049945e+00,1.908920836131387189e+00,5.689506601955022447e+00,8.488497659830287478e-01,-3.630473518490685336e+00,1.529070286638708920e+00,-6.249606385791825480e-02,-5.664348217872128721e+00,2.000000000000000000e+00
-4.783824073288782230e+00,3.791857249310136790e+00,-5.672158700511811258e-01,3.980325907916403061e+00,1.362081014624170194e-01,4.481712222344686580e+00,1.305746453916555527e+00,-4.906680147482287424e+00,2.880893112218311014e+00,1.377755392417786551e+00,4.185291747306393084e+00,2.000000000000000000e+00
-2.084198806600286336e+00,1.474409459042870241e+00,1.109694579402510817e+00,1.200414384999102468e+00,1.442763502387147678e+00,4.303136670436048306e+00,-1.064445484229842309e+00,-1.566620269268802268e+00,-5.776063169242811046e-01,-2.734160711899574991e+00,-1.383829179761794137e+01,2.000000000000000000e+00
