city_name,city_slug,location_id,location_name,locality,country_code,latitude,longitude,is_mobile,is_monitor,owner_name,provider_name,datetime_first_utc,datetime_last_utc,sensor_ids,parameters
Jersey City,jersey_city,928,Jersey City FH,New York-Northern New Jersey-Long Island,US,40.725452,-74.052292,False,True,Unknown Governmental Organization,AirNow,2023-05-07T01:00:00Z,2026-07-20T02:00:00Z,5077566,pm25
Jersey City,jersey_city,1122,Jersey City,New York-Northern New Jersey-Long Island,US,40.731689,-74.066566,False,True,Unknown Governmental Organization,AirNow,2016-03-06T20:00:00Z,2026-07-20T02:00:00Z,2016|2018|23341|4272080|4272352,co|no|no2|nox|so2
Jersey City,jersey_city,2153518,Jersey City Heights,,US,40.75065,-74.04252,False,False,Unknown Person,AirGradient,2024-01-28T00:00:00Z,2025-04-06T21:00:00Z,7762999|7763001|7970916|7970930|7971870|7971901|7979380|7979399|7979411|7979412,pm1|pm10|pm25|relativehumidity|temperature|um003
Jersey City,jersey_city,5066205,"Hamilton Park, Jersey City",,US,40.728854,-74.046405,False,False,AirGradient,AirGradient,2025-07-14T01:00:00Z,2026-07-20T02:00:00Z,13594426|13594427|13594428|13594429|13594430,pm1|pm25|relativehumidity|temperature|um003
New York City,nyc,384,CCNY,New York-Northern New Jersey-Long Island,US,40.8197,-73.9481,False,True,Unknown Governmental Organization,AirNow,2016-03-12T09:00:00Z,2026-07-20T02:00:00Z,671|673,o3|pm25
New York City,nyc,625,Manhattan/IS143,New York-Northern New Jersey-Long Island,US,40.8492,-73.9319,False,True,Unknown Governmental Organization,AirNow,2016-03-10T08:00:00Z,2026-07-20T02:00:00Z,1097,pm25
New York City,nyc,626,Bronx - IS52,New York-Northern New Jersey-Long Island,US,40.816101,-73.902199,False,True,Unknown Governmental Organization,AirNow,2016-03-10T08:00:00Z,2026-07-20T02:00:00Z,1098|1099|1102,o3|pm10|pm25
New York City,nyc,628,Maspeth,New York-Northern New Jersey-Long Island,US,40.7269,-73.8933,False,True,Unknown Governmental Organization,AirNow,2016-03-10T08:00:00Z,2026-07-20T02:00:00Z,1103,pm25
New York City,nyc,631,Queens,New York-Northern New Jersey-Long Island,US,40.7375,-73.8244,False,True,Unknown Governmental Organization,AirNow,2016-03-10T08:00:00Z,2026-07-20T02:00:00Z,1106|1152,o3|pm25
New York City,nyc,642,PS 19,,US,40.73,-73.984459,False,True,Unknown Governmental Organization,AirNow,2016-03-10T08:00:00Z,2017-12-18T10:00:00Z,1121,pm25
New York City,nyc,648,Bklyn - PS 314,KINGS,US,40.641819,-74.018707,False,True,Unknown Governmental Organization,AirNow,2016-03-10T08:00:00Z,2026-07-20T02:00:00Z,1128,pm25
New York City,nyc,662,Division Street,,US,40.7142,-73.995,False,True,Unknown Governmental Organization,AirNow,2016-03-10T08:00:00Z,2020-02-19T16:00:00Z,1143,pm25
